City,Latitude,Longitude,Country,Continent,Population (2024),Population (2023),Growth Rate,Growth Rate (%)
Bozhou,33.8446099,115.77931,China,Asia,854946,830125,0.02990031622,2.99
Kottayam,9.5915668,76.5221531,India,Asia,853635,818628,0.04276301324,4.28
Zhuji,29.7136399,120.23632,China,Asia,852608,834782,0.02135407807,2.14
Kunshan,31.1823199,121.00715,China,Asia,851399,826414,0.0302330309,3.02
Quebec City,46.8130816,-71.2074596,Canada,North America,851061,844249,0.008068709587,0.81
Palermo,38.1156864,13.3614635,Italy,Europe,850233,849687,0.0006425895653,0.06
Winnipeg,49.8954221,-97.1385145,Canada,North America,849251,841108,0.009681277553,0.97
Orumiyeh,37.5498061,45.0786282,Iran,Asia,848443,835900,0.01500538342,1.5
Eskisehir,39.7667061,30.5256311,Turkey,Asia,848002,834065,0.01670972886,1.67
Benguela,-12.5905158,13.416501,Angola,Africa,843207,809468,0.04168046174,4.17
Jincheng,35.4903899,112.85113,China,Asia,841928,818057,0.02918011826,2.92
Valencia,39.4738338,-0.3756348,Spain,Europe,839770,838301,0.001752353868,0.18
Heze,35.2336299,115.48115,China,Asia,838928,826777,0.01469682877,1.47
Saratov,51.5461754,46.0154123,Russia,Asia,837687,838377,-0.0008230187612,-0.08
Nellore,14.4425987,79.986456,India,Asia,837660,816293,0.02617565016,2.62
Huludao,40.7109999,120.83699,China,Asia,836344,821132,0.01852564509,1.85
Zanzibar,-6.1357295,39.3621196,Tanzania,Africa,835850,800010,0.04479944001,4.48
Barcelona Puerto La Cruz,10.2007985,-64.6334643,Venezuela,South America,835805,825581,0.01238400593,1.24
Bikaner,28.0229348,73.3119159,India,Asia,835802,818566,0.0210563351,2.11
Haicheng,40.8814499,122.6846299,China,Asia,834639,821192,0.01637497686,1.64
Gebze,40.8025157,29.4397941,Turkey,Asia,831360,813394,0.02208769674,2.21
Taixing,32.2945171,119.9488266,China,Asia,830623,811451,0.02362681172,2.36
Liaocheng,36.4570199,115.9854899,China,Asia,830004,813369,0.02045197198,2.05
Zhumadian,33.0114199,114.02299,China,Asia,829361,804537,0.0308550135,3.09
Newcastle Upon Tyne,54.978252,-1.61778,United Kingdom,Europe,828712,823431,0.00641340926,0.64
Langfang,39.5377499,116.68376,China,Asia,827967,807833,0.02492346809,2.49
Bucheon,37.5038683,126.7874615,South Korea,Asia,826919,826981,-7.5e-05,-0.01
Sulaimaniya,35.5557603,45.4351181,Iraq,Asia,823199,800793,0.02797976506,2.8
Xalapa,19.5437751,-96.9101806,Mexico,North America,822863,811041,0.01457632845,1.46
Malanje,-9.5421853,16.3383783,Angola,Africa,822471,783243,0.05008407353,5.01
Anqiu,36.4784199,119.21784,China,Asia,821765,791931,0.03767247399,3.77
Sorocaba,-23.470905,-47.4851488,Brazil,South America,821435,813320,0.009977622584,1.0
Gaomi,36.3825699,119.75568,China,Asia,821154,797964,0.02906146142,2.91
Dasmarinas,14.3338498,120.9542344,Philippines,Asia,820886,802600,0.02278345378,2.28
Cagayan De Oro City,8.4802854,124.6497534,Philippines,Asia,820297,803194,0.02129373476,2.13
Hanchuan,30.6612199,113.83907,China,Asia,818761,795835,0.02880747894,2.88
Meishan,30.0756299,103.84851,China,Asia,818037,796756,0.02670955725,2.67
Bologna,44.494887,11.3426163,Italy,Europe,816848,814332,0.003089648939,0.31
Ar Rayyan,25.2862157,51.4204044,Qatar,Asia,815869,798382,0.02190304892,2.19
Thessaloniki,40.6400629,22.9444191,Greece,Europe,814980,814524,0.0005598361743,0.06
Muzaffarnagar,29.4726817,77.7085091,India,Asia,814491,791214,0.02941934799,2.94
Kayamkulam,9.1748422,76.5013352,India,Asia,813379,786192,0.03458061135,3.46
Nottingham,52.9540223,-1.1549892,United Kingdom,Europe,813078,806757,0.007835073015,0.78
Nakhon Ratchasima,14.9738493,102.083652,Thailand,Asia,811446,801853,0.01196353945,1.2
Danyang,32.0094499,119.60694,China,Asia,810450,789755,0.02620432919,2.62
Ibb,23.7316854,90.4142913,Yemen,Asia,810149,771514,0.05007686186,5.01
Amravati,20.9319821,77.7523039,India,Asia,808263,792620,0.01973581287,1.97
Jiaozuo,35.2156299,113.24201,China,Asia,808079,796509,0.01452588734,1.45
Vereeniging,-26.5814032,27.9365087,South Africa,Africa,802900,793927,0.01130204666,1.13
Gorakhpur,26.7605545,83.3731675,India,Asia,801634,788276,0.0169458413,1.69
Gaza,31.5016951,34.4668445,Palestine,Asia,800636,778187,0.02884782192,2.88
Frankfurt,50.1109221,8.6821267,Germany,Europe,800529,796437,0.005137882846,0.51
Anqing,30.5429399,117.06354,China,Asia,795987,779535,0.02110488945,2.11
Niigata,37.9185345,139.069444,Japan,Asia,795916,797865,-0.00244276914,-0.24
Oshogbo,7.7826709,4.5418141,Nigeria,Africa,795808,771515,0.03148739817,3.15
Linhai,28.8583999,121.14495,China,Asia,795777,776076,0.0253854004,2.54
Shaoguan,24.8103899,113.59723,China,Asia,794279,784230,0.01281384288,1.28
Erduosi Ordoss,39.81027,109.96624,China,Asia,794143,774321,0.0255992024,2.56
Merca,1.7174656,44.7686135,Somalia,Africa,793545,760129,0.04396095926,4.4
Bur Sa'id,31.2652893,32.3018661,Egypt,Africa,792925,778280,0.01881713522,1.88
Kitwe,-12.8231947,28.2175744,Zambia,Africa,792350,762981,0.03849243952,3.85
Yan'an,36.5852899,109.48978,China,Asia,791839,767188,0.03213162875,3.21
Cuttack,20.462521,85.8829895,India,Asia,789558,775559,0.01805020637,1.81
Zaria,11.1047395,7.7206606,Nigeria,Africa,786197,766007,0.02635746149,2.64
Banjarmasin,-3.3168684,114.5901835,Indonesia,Asia,785125,770959,0.01837451797,1.84
Dengzhou,32.6877699,112.08736,China,Asia,783041,759150,0.03147072384,3.15
Belgaum,15.8608974,74.5129177,India,Asia,783020,767161,0.02067232302,2.07
Malegaon,20.5579034,74.5089457,India,Asia,781925,764628,0.02262145775,2.26
Goma,-1.658501,29.2204548,DR Congo,Africa,781875,744247,0.05055848394,5.06
Zigong,29.3391999,104.77844,China,Asia,779684,768075,0.0151144094,1.51
Qingyuan,23.6820099,113.05615,China,Asia,778628,766782,0.01544898028,1.54
Yuncheng,35.0262799,111.00699,China,Asia,777193,754711,0.02978888608,2.98
Shaoyang,27.2388999,111.4677,China,Asia,776404,761169,0.02001526599,2.0
Yanji,42.8910699,129.5091,China,Asia,775672,757224,0.02436267208,2.44
Tirupati,13.6287557,79.4191795,India,Asia,775455,752744,0.03017094789,3.02
Maturin,9.7333906,-63.1914317,Venezuela,South America,775097,758185,0.02230590159,2.23
Yuxi,24.3472599,102.52744,China,Asia,774356,750102,0.03233426921,3.23
Akure,7.2571325,5.2057909,Nigeria,Africa,773141,744371,0.03865008175,3.87
Tongliao,43.6524699,122.24469,China,Asia,772756,756158,0.02195043893,2.2
Sialkot,32.4925479,74.5311505,Pakistan,Asia,770962,753325,0.02341220589,2.34
Tongling,30.9448599,117.81232,China,Asia,770032,752916,0.02273294763,2.27
Krakow,50.0646501,19.9449799,Poland,Europe,769396,769417,-2.73e-05,0.0
Ansan,37.317342,126.8209476,South Korea,Asia,768822,766703,0.002763782064,0.28
Wuzhou,23.4769099,111.27917,China,Asia,768512,751679,0.0223938676,2.24
Dazhou,31.2086399,107.46791,China,Asia,767532,748257,0.02575986593,2.58
Suining Sichuan,30.5328599,105.59273,China,Asia,765887,750097,0.02105061079,2.11
